Commodity,Unit,Location,Spot Price(Rs.),Up/Down,Date,Time
GOLD,10 GRMS,AHMEDABAD,9188,+,30 Dec 2006,12:49
GOLD,10 GRMS,AHMEDABAD,9158,+,29 Dec 2006,16:33
GOLD,10 GRMS,AHMEDABAD,9144,+,29 Dec 2006,12:45
GOLD,10 GRMS,AHMEDABAD,9064,-,28 Dec 2006,16:50
GOLD,10 GRMS,AHMEDABAD,9084,+,28 Dec 2006,12:21
GOLD,10 GRMS,AHMEDABAD,9079,+,27 Dec 2006,16:31
GOLD,10 GRMS,AHMEDABAD,9059,-,27 Dec 2006,12:05
GOLD,10 GRMS,AHMEDABAD,9069,-,26 Dec 2006,16:37
GOLD,10 GRMS,AHMEDABAD,9074,+,26 Dec 2006,12:30
GOLD,10 GRMS,AHMEDABAD,9030,+,23 Dec 2006,12:38
GOLD,10 GRMS,AHMEDABAD,9010,+,22 Dec 2006,16:30
GOLD,10 GRMS,AHMEDABAD,9005,-,22 Dec 2006,12:53
GOLD,10 GRMS,AHMEDABAD,9059,=,21 Dec 2006,16:58
GOLD,10 GRMS,AHMEDABAD,9059,-,21 Dec 2006,12:15
GOLD,10 GRMS,AHMEDABAD,9069,=,20 Dec 2006,18:53
GOLD,10 GRMS,AHMEDABAD,9084,+,20 Dec 2006,12:30
GOLD,10 GRMS,AHMEDABAD,9005,=,19 Dec 2006,19:50
GOLD,10 GRMS,AHMEDABAD,9025,+,19 Dec 2006,12:34
GOLD,10 GRMS,AHMEDABAD,9020,-,18 Dec 2006,16:23
GOLD,10 GRMS,AHMEDABAD,9030,+,18 Dec 2006,12:34
GOLD,10 GRMS,AHMEDABAD,8985,-,16 Dec 2006,12:54
GOLD,10 GRMS,AHMEDABAD,9134,=,15 Dec 2006,22:42
GOLD,10 GRMS,AHMEDABAD,9134,-,15 Dec 2006,12:48
GOLD,10 GRMS,AHMEDABAD,9153,=,14 Dec 2006,19:04
GOLD,10 GRMS,AHMEDABAD,9153,-,14 Dec 2006,12:49
GOLD,10 GRMS,AHMEDABAD,9198,=,13 Dec 2006,16:18
GOLD,10 GRMS,AHMEDABAD,9198,+,13 Dec 2006,12:34
GOLD,10 GRMS,AHMEDABAD,9193,-,12 Dec 2006,16:32
GOLD,10 GRMS,AHMEDABAD,9223,+,12 Dec 2006,12:12
GOLD,10 GRMS,AHMEDABAD,9139,-,11 Dec 2006,16:20
GOLD,10 GRMS,AHMEDABAD,9144,-,11 Dec 2006,12:32
GOLD,10 GRMS,AHMEDABAD,9149,-,09 Dec 2006,12:25
GOLD,10 GRMS,AHMEDABAD,9208,-,08 Dec 2006,16:16
GOLD,10 GRMS,AHMEDABAD,9228,+,08 Dec 2006,12:21
GOLD,10 GRMS,AHMEDABAD,9178,+,07 Dec 2006,16:27
GOLD,10 GRMS,AHMEDABAD,9158,-,07 Dec 2006,12:12
GOLD,10 GRMS,AHMEDABAD,9277,=,06 Dec 2006,16:32
GOLD,10 GRMS,AHMEDABAD,9277,-,06 Dec 2006,12:13
GOLD,10 GRMS,AHMEDABAD,9332,-,05 Dec 2006,22:54
GOLD,10 GRMS,AHMEDABAD,9351,-,05 Dec 2006,12:14
GOLD,10 GRMS,AHMEDABAD,9371,=,04 Dec 2006,20:20
GOLD,10 GRMS,AHMEDABAD,9401,+,04 Dec 2006,12:18
GOLD,10 GRMS,AHMEDABAD,9381,-,02 Dec 2006,12:36
GOLD,10 GRMS,AHMEDABAD,9396,-,01 Dec 2006,16:19
GOLD,10 GRMS,AHMEDABAD,9411,+,01 Dec 2006,12:40
GOLD,10 GRMS,AHMEDABAD,9302,+,30 Nov 2006,16:12
GOLD,10 GRMS,AHMEDABAD,9297,=,30 Nov 2006,12:09
GOLD,10 GRMS,AHMEDABAD,9297,-,29 Nov 2006,16:37
GOLD,10 GRMS,AHMEDABAD,9302,=,29 Nov 2006,12:13
GOLD,10 GRMS,AHMEDABAD,9302,-,28 Nov 2006,16:19
GOLD,10 GRMS,AHMEDABAD,9307,+,28 Nov 2006,12:12
GOLD,10 GRMS,AHMEDABAD,9287,-,27 Nov 2006,16:27
GOLD,10 GRMS,AHMEDABAD,9327,+,27 Nov 2006,12:41
GOLD,10 GRMS,AHMEDABAD,9297,+,25 Nov 2006,12:24
GOLD,10 GRMS,AHMEDABAD,9272,+,24 Nov 2006,16:29
GOLD,10 GRMS,AHMEDABAD,9233,+,24 Nov 2006,12:46
GOLD,10 GRMS,AHMEDABAD,9193,+,23 Nov 2006,16:40
GOLD,10 GRMS,AHMEDABAD,9178,+,23 Nov 2006,12:09
GOLD,10 GRMS,AHMEDABAD,9158,=,22 Nov 2006,16:29
GOLD,10 GRMS,AHMEDABAD,9158,+,22 Nov 2006,12:05
GOLD,10 GRMS,AHMEDABAD,9149,+,21 Nov 2006,16:17
GOLD,10 GRMS,AHMEDABAD,9134,-,21 Nov 2006,12:14
GOLD,10 GRMS,AHMEDABAD,9153,+,20 Nov 2006,16:40
GOLD,10 GRMS,AHMEDABAD,9124,+,20 Nov 2006,12:18
GOLD,10 GRMS,AHMEDABAD,9114,+,18 Nov 2006,12:10
GOLD,10 GRMS,AHMEDABAD,9064,-,17 Nov 2006,16:30
GOLD,10 GRMS,AHMEDABAD,9079,-,17 Nov 2006,12:04
GOLD,10 GRMS,AHMEDABAD,9163,-,16 Nov 2006,18:08
GOLD,10 GRMS,AHMEDABAD,9203,+,16 Nov 2006,12:16
GOLD,10 GRMS,AHMEDABAD,9168,=,15 Nov 2006,17:33
GOLD,10 GRMS,AHMEDABAD,9208,+,15 Nov 2006,12:23
GOLD,10 GRMS,AHMEDABAD,9183,+,14 Nov 2006,23:36
GOLD,10 GRMS,AHMEDABAD,9173,-,14 Nov 2006,13:08
GOLD,10 GRMS,AHMEDABAD,9213,-,13 Nov 2006,16:18
GOLD,10 GRMS,AHMEDABAD,9238,+,13 Nov 2006,13:05
GOLD,10 GRMS,AHMEDABAD,9158,-,11 Nov 2006,12:30
GOLD,10 GRMS,AHMEDABAD,9178,+,10 Nov 2006,12:56
GOLD,10 GRMS,AHMEDABAD,8985,-,09 Nov 2006,16:25
GOLD,10 GRMS,AHMEDABAD,9005,-,09 Nov 2006,12:51
GOLD,10 GRMS,AHMEDABAD,9114,=,08 Nov 2006,16:19
GOLD,10 GRMS,AHMEDABAD,9114,-,08 Nov 2006,12:17
GOLD,10 GRMS,AHMEDABAD,9153,+,07 Nov 2006,16:19
GOLD,10 GRMS,AHMEDABAD,9114,-,07 Nov 2006,12:40
GOLD,10 GRMS,AHMEDABAD,9163,-,06 Nov 2006,16:18
GOLD,10 GRMS,AHMEDABAD,9183,+,06 Nov 2006,12:20
GOLD,10 GRMS,AHMEDABAD,9168,+,04 Nov 2006,12:19
GOLD,10 GRMS,AHMEDABAD,9153,+,03 Nov 2006,16:39
GOLD,10 GRMS,AHMEDABAD,9104,+,03 Nov 2006,12:20
GOLD,10 GRMS,AHMEDABAD,9010,-,02 Nov 2006,16:29
GOLD,10 GRMS,AHMEDABAD,9040,+,02 Nov 2006,12:12
GOLD,10 GRMS,AHMEDABAD,8931,+,01 Nov 2006,16:32
GOLD,10 GRMS,AHMEDABAD,8901,+,01 Nov 2006,12:37
GOLD,10 GRMS,AHMEDABAD,8837,=,31 Oct 2006,16:32
GOLD,10 GRMS,AHMEDABAD,8837,-,31 Oct 2006,12:08
GOLD,10 GRMS,AHMEDABAD,8886,+,30 Oct 2006,16:22
GOLD,10 GRMS,AHMEDABAD,8876,+,30 Oct 2006,12:28
GOLD,10 GRMS,AHMEDABAD,8851,+,28 Oct 2006,12:40
GOLD,10 GRMS,AHMEDABAD,8715,-,27 Oct 2006,17:09
GOLD,10 GRMS,AHMEDABAD,8740,-,27 Oct 2006,13:14
GOLD,10 GRMS,AHMEDABAD,8748,=,26 Oct 2006,18:25
GOLD,10 GRMS,AHMEDABAD,8748,=,26 Oct 2006,13:09
GOLD,10 GRMS,AHMEDABAD,8748,=,25 Oct 2006,12:49
GOLD,10 GRMS,AHMEDABAD,8748,=,24 Oct 2006,20:01
GOLD,10 GRMS,AHMEDABAD,8748,=,23 Oct 2006,16:26
GOLD,10 GRMS,AHMEDABAD,8748,=,23 Oct 2006,12:51
GOLD,10 GRMS,AHMEDABAD,8748,-,21 Oct 2006,18:43
GOLD,10 GRMS,AHMEDABAD,8851,-,20 Oct 2006,16:25
GOLD,10 GRMS,AHMEDABAD,8876,+,20 Oct 2006,12:10
GOLD,10 GRMS,AHMEDABAD,8728,+,19 Oct 2006,16:26
GOLD,10 GRMS,AHMEDABAD,8713,-,19 Oct 2006,12:29
GOLD,10 GRMS,AHMEDABAD,8757,+,18 Oct 2006,16:23
GOLD,10 GRMS,AHMEDABAD,8738,-,18 Oct 2006,12:26
GOLD,10 GRMS,AHMEDABAD,8802,-,17 Oct 2006,16:45
GOLD,10 GRMS,AHMEDABAD,8827,+,17 Oct 2006,12:14
GOLD,10 GRMS,AHMEDABAD,8777,+,16 Oct 2006,12:09
GOLD,10 GRMS,AHMEDABAD,8748,+,14 Oct 2006,12:22
GOLD,10 GRMS,AHMEDABAD,8574,+,13 Oct 2006,12:13
GOLD,10 GRMS,AHMEDABAD,8569,+,12 Oct 2006,16:28
GOLD,10 GRMS,AHMEDABAD,8559,+,12 Oct 2006,12:28
GOLD,10 GRMS,AHMEDABAD,8515,+,11 Oct 2006,16:55
GOLD,10 GRMS,AHMEDABAD,8500,-,11 Oct 2006,13:08
GOLD,10 GRMS,AHMEDABAD,8584,-,10 Oct 2006,16:30
GOLD,10 GRMS,AHMEDABAD,8624,+,10 Oct 2006,12:05
GOLD,10 GRMS,AHMEDABAD,8614,-,09 Oct 2006,16:33
GOLD,10 GRMS,AHMEDABAD,8634,+,09 Oct 2006,12:29
GOLD,10 GRMS,AHMEDABAD,8540,-,07 Oct 2006,12:36
GOLD,10 GRMS,AHMEDABAD,8545,+,06 Oct 2006,16:28
GOLD,10 GRMS,AHMEDABAD,8500,-,06 Oct 2006,13:04
GOLD,10 GRMS,AHMEDABAD,8535,+,05 Oct 2006,23:26
GOLD,10 GRMS,AHMEDABAD,8436,-,05 Oct 2006,12:49
