Commodity,Unit,Location,Spot Price(Rs.),Up/Down,Date,Time
GOLD,10 GRMS,AHMEDABAD,27830,-,30 Dec 2016,17:01
GOLD,10 GRMS,AHMEDABAD,27890,+,30 Dec 2016,12:48
GOLD,10 GRMS,AHMEDABAD,27671,-,29 Dec 2016,16:56
GOLD,10 GRMS,AHMEDABAD,27693,+,29 Dec 2016,12:51
GOLD,10 GRMS,AHMEDABAD,27532,-,28 Dec 2016,16:36
GOLD,10 GRMS,AHMEDABAD,27562,=,28 Dec 2016,12:47
GOLD,10 GRMS,AHMEDABAD,27562,+,27 Dec 2016,16:50
GOLD,10 GRMS,AHMEDABAD,27482,+,27 Dec 2016,12:45
GOLD,10 GRMS,AHMEDABAD,27269,+,26 Dec 2016,16:46
GOLD,10 GRMS,AHMEDABAD,27259,+,26 Dec 2016,12:55
GOLD,10 GRMS,AHMEDABAD,27221,-,23 Dec 2016,17:05
GOLD,10 GRMS,AHMEDABAD,27273,+,23 Dec 2016,12:54
GOLD,10 GRMS,AHMEDABAD,27208,+,22 Dec 2016,16:55
GOLD,10 GRMS,AHMEDABAD,27172,-,22 Dec 2016,12:56
GOLD,10 GRMS,AHMEDABAD,27343,+,21 Dec 2016,16:36
GOLD,10 GRMS,AHMEDABAD,27315,+,21 Dec 2016,12:51
GOLD,10 GRMS,AHMEDABAD,27305,+,20 Dec 2016,16:49
GOLD,10 GRMS,AHMEDABAD,27280,-,20 Dec 2016,12:54
GOLD,10 GRMS,AHMEDABAD,27410,+,19 Dec 2016,17:03
GOLD,10 GRMS,AHMEDABAD,27400,+,19 Dec 2016,12:58
GOLD,10 GRMS,AHMEDABAD,27305,-,16 Dec 2016,16:56
GOLD,10 GRMS,AHMEDABAD,27314,-,16 Dec 2016,12:58
GOLD,10 GRMS,AHMEDABAD,27335,-,15 Dec 2016,16:51
GOLD,10 GRMS,AHMEDABAD,27494,-,15 Dec 2016,12:53
GOLD,10 GRMS,AHMEDABAD,27857,-,14 Dec 2016,16:38
GOLD,10 GRMS,AHMEDABAD,27862,+,14 Dec 2016,12:56
GOLD,10 GRMS,AHMEDABAD,27844,-,13 Dec 2016,17:18
GOLD,10 GRMS,AHMEDABAD,27853,-,13 Dec 2016,13:04
GOLD,10 GRMS,AHMEDABAD,28070,+,09 Dec 2016,16:37
GOLD,10 GRMS,AHMEDABAD,28033,-,09 Dec 2016,12:49
GOLD,10 GRMS,AHMEDABAD,28131,-,08 Dec 2016,16:49
GOLD,10 GRMS,AHMEDABAD,28190,-,08 Dec 2016,12:47
GOLD,10 GRMS,AHMEDABAD,28233,+,07 Dec 2016,17:10
GOLD,10 GRMS,AHMEDABAD,28199,-,07 Dec 2016,12:57
GOLD,10 GRMS,AHMEDABAD,28249,-,06 Dec 2016,16:51
GOLD,10 GRMS,AHMEDABAD,28274,+,06 Dec 2016,12:59
GOLD,10 GRMS,AHMEDABAD,28233,-,05 Dec 2016,17:19
GOLD,10 GRMS,AHMEDABAD,28433,+,05 Dec 2016,12:57
GOLD,10 GRMS,AHMEDABAD,28401,-,02 Dec 2016,17:07
GOLD,10 GRMS,AHMEDABAD,28476,+,02 Dec 2016,12:55
GOLD,10 GRMS,AHMEDABAD,28356,-,01 Dec 2016,17:18
GOLD,10 GRMS,AHMEDABAD,28514,-,01 Dec 2016,12:58
GOLD,10 GRMS,AHMEDABAD,28837,-,30 Nov 2016,18:47
GOLD,10 GRMS,AHMEDABAD,28858,-,30 Nov 2016,13:02
GOLD,10 GRMS,AHMEDABAD,28891,-,29 Nov 2016,16:55
GOLD,10 GRMS,AHMEDABAD,28894,-,29 Nov 2016,13:02
GOLD,10 GRMS,AHMEDABAD,28976,-,28 Nov 2016,17:13
GOLD,10 GRMS,AHMEDABAD,29017,+,28 Nov 2016,12:48
GOLD,10 GRMS,AHMEDABAD,28820,+,25 Nov 2016,16:42
GOLD,10 GRMS,AHMEDABAD,28701,-,25 Nov 2016,12:56
GOLD,10 GRMS,AHMEDABAD,29013,+,24 Nov 2016,16:46
GOLD,10 GRMS,AHMEDABAD,28917,-,24 Nov 2016,12:58
GOLD,10 GRMS,AHMEDABAD,29391,-,23 Nov 2016,16:44
GOLD,10 GRMS,AHMEDABAD,29413,+,23 Nov 2016,12:45
GOLD,10 GRMS,AHMEDABAD,29409,-,22 Nov 2016,16:47
GOLD,10 GRMS,AHMEDABAD,29420,+,22 Nov 2016,12:45
GOLD,10 GRMS,AHMEDABAD,29368,-,21 Nov 2016,16:51
GOLD,10 GRMS,AHMEDABAD,29421,+,21 Nov 2016,12:52
GOLD,10 GRMS,AHMEDABAD,29354,+,18 Nov 2016,17:11
GOLD,10 GRMS,AHMEDABAD,29250,-,18 Nov 2016,13:07
GOLD,10 GRMS,AHMEDABAD,29666,+,17 Nov 2016,16:52
GOLD,10 GRMS,AHMEDABAD,29613,-,17 Nov 2016,12:56
GOLD,10 GRMS,AHMEDABAD,29808,-,16 Nov 2016,16:51
GOLD,10 GRMS,AHMEDABAD,29929,-,16 Nov 2016,13:12
GOLD,10 GRMS,AHMEDABAD,29949,-,15 Nov 2016,17:06
GOLD,10 GRMS,AHMEDABAD,30189,-,15 Nov 2016,13:29
GOLD,10 GRMS,AHMEDABAD,30389,-,11 Nov 2016,16:47
GOLD,10 GRMS,AHMEDABAD,30395,-,11 Nov 2016,12:58
GOLD,10 GRMS,AHMEDABAD,30648,-,10 Nov 2016,17:01
GOLD,10 GRMS,AHMEDABAD,30776,+,10 Nov 2016,12:57
GOLD,10 GRMS,AHMEDABAD,30292,=,09 Nov 2016,12:56
GOLD,10 GRMS,AHMEDABAD,30292,-,08 Nov 2016,16:55
GOLD,10 GRMS,AHMEDABAD,30322,-,08 Nov 2016,12:53
GOLD,10 GRMS,AHMEDABAD,30421,-,07 Nov 2016,16:44
GOLD,10 GRMS,AHMEDABAD,30441,-,07 Nov 2016,12:47
GOLD,10 GRMS,AHMEDABAD,30598,+,04 Nov 2016,17:02
GOLD,10 GRMS,AHMEDABAD,30528,+,04 Nov 2016,12:46
GOLD,10 GRMS,AHMEDABAD,30477,-,03 Nov 2016,17:01
GOLD,10 GRMS,AHMEDABAD,30590,+,03 Nov 2016,13:02
GOLD,10 GRMS,AHMEDABAD,30551,-,02 Nov 2016,17:01
GOLD,10 GRMS,AHMEDABAD,30596,+,02 Nov 2016,13:09
GOLD,10 GRMS,AHMEDABAD,30049,=,01 Nov 2016,12:45
GOLD,10 GRMS,AHMEDABAD,30049,-,28 Oct 2016,17:17
GOLD,10 GRMS,AHMEDABAD,30169,+,28 Oct 2016,12:48
GOLD,10 GRMS,AHMEDABAD,30072,-,27 Oct 2016,16:56
GOLD,10 GRMS,AHMEDABAD,30079,-,27 Oct 2016,12:46
GOLD,10 GRMS,AHMEDABAD,30095,-,26 Oct 2016,17:06
GOLD,10 GRMS,AHMEDABAD,30134,+,26 Oct 2016,12:46
GOLD,10 GRMS,AHMEDABAD,30002,-,25 Oct 2016,17:09
GOLD,10 GRMS,AHMEDABAD,30008,+,25 Oct 2016,12:52
GOLD,10 GRMS,AHMEDABAD,29959,+,24 Oct 2016,17:04
GOLD,10 GRMS,AHMEDABAD,29929,-,24 Oct 2016,13:02
GOLD,10 GRMS,AHMEDABAD,29950,+,21 Oct 2016,16:58
GOLD,10 GRMS,AHMEDABAD,29909,-,21 Oct 2016,13:04
GOLD,10 GRMS,AHMEDABAD,30011,+,20 Oct 2016,16:55
GOLD,10 GRMS,AHMEDABAD,29986,+,20 Oct 2016,13:09
GOLD,10 GRMS,AHMEDABAD,29957,+,19 Oct 2016,17:07
GOLD,10 GRMS,AHMEDABAD,29829,-,19 Oct 2016,12:51
GOLD,10 GRMS,AHMEDABAD,29845,+,18 Oct 2016,16:57
GOLD,10 GRMS,AHMEDABAD,29841,+,18 Oct 2016,13:01
GOLD,10 GRMS,AHMEDABAD,29738,=,17 Oct 2016,16:52
GOLD,10 GRMS,AHMEDABAD,29737,-,17 Oct 2016,12:54
GOLD,10 GRMS,AHMEDABAD,29752,-,14 Oct 2016,16:38
GOLD,10 GRMS,AHMEDABAD,29800,-,14 Oct 2016,12:44
GOLD,10 GRMS,AHMEDABAD,29940,+,13 Oct 2016,16:54
GOLD,10 GRMS,AHMEDABAD,29899,+,13 Oct 2016,12:53
GOLD,10 GRMS,AHMEDABAD,29863,-,10 Oct 2016,16:50
GOLD,10 GRMS,AHMEDABAD,29896,+,10 Oct 2016,12:48
GOLD,10 GRMS,AHMEDABAD,29783,+,07 Oct 2016,16:38
GOLD,10 GRMS,AHMEDABAD,29712,-,07 Oct 2016,12:45
GOLD,10 GRMS,AHMEDABAD,29959,+,06 Oct 2016,16:44
GOLD,10 GRMS,AHMEDABAD,29905,-,06 Oct 2016,13:09
GOLD,10 GRMS,AHMEDABAD,30033,+,05 Oct 2016,17:01
GOLD,10 GRMS,AHMEDABAD,30022,-,05 Oct 2016,12:58
GOLD,10 GRMS,AHMEDABAD,30725,-,04 Oct 2016,17:09
GOLD,10 GRMS,AHMEDABAD,30762,-,04 Oct 2016,12:54
GOLD,10 GRMS,AHMEDABAD,30940,+,03 Oct 2016,16:51
GOLD,10 GRMS,AHMEDABAD,30856,-,03 Oct 2016,12:55
GOLD,10 GRMS,AHMEDABAD,31175,+,30 Sep 2016,17:34
GOLD,10 GRMS,AHMEDABAD,31166,+,30 Sep 2016,12:51
GOLD,10 GRMS,AHMEDABAD,31096,-,29 Sep 2016,16:38
GOLD,10 GRMS,AHMEDABAD,31101,+,29 Sep 2016,12:50
GOLD,10 GRMS,AHMEDABAD,31038,+,28 Sep 2016,16:50
GOLD,10 GRMS,AHMEDABAD,31009,-,28 Sep 2016,12:51
GOLD,10 GRMS,AHMEDABAD,31227,+,27 Sep 2016,16:50
GOLD,10 GRMS,AHMEDABAD,31192,-,27 Sep 2016,12:46
GOLD,10 GRMS,AHMEDABAD,31305,+,26 Sep 2016,16:45
GOLD,10 GRMS,AHMEDABAD,31270,-,26 Sep 2016,12:45
GOLD,10 GRMS,AHMEDABAD,31316,+,23 Sep 2016,16:42
GOLD,10 GRMS,AHMEDABAD,31255,-,23 Sep 2016,12:45
GOLD,10 GRMS,AHMEDABAD,31263,-,22 Sep 2016,16:38
GOLD,10 GRMS,AHMEDABAD,31305,+,22 Sep 2016,12:50
GOLD,10 GRMS,AHMEDABAD,31106,+,21 Sep 2016,16:45
GOLD,10 GRMS,AHMEDABAD,31095,+,21 Sep 2016,12:46
GOLD,10 GRMS,AHMEDABAD,30982,-,20 Sep 2016,16:45
GOLD,10 GRMS,AHMEDABAD,31037,+,20 Sep 2016,12:45
GOLD,10 GRMS,AHMEDABAD,30967,-,19 Sep 2016,16:41
GOLD,10 GRMS,AHMEDABAD,30998,+,19 Sep 2016,12:45
GOLD,10 GRMS,AHMEDABAD,30920,-,16 Sep 2016,16:33
GOLD,10 GRMS,AHMEDABAD,30978,-,16 Sep 2016,12:45
GOLD,10 GRMS,AHMEDABAD,31115,-,15 Sep 2016,16:34
GOLD,10 GRMS,AHMEDABAD,31151,+,15 Sep 2016,12:48
GOLD,10 GRMS,AHMEDABAD,31073,-,14 Sep 2016,16:46
GOLD,10 GRMS,AHMEDABAD,31094,-,14 Sep 2016,12:45
GOLD,10 GRMS,AHMEDABAD,31212,+,12 Sep 2016,17:14
GOLD,10 GRMS,AHMEDABAD,31202,+,12 Sep 2016,14:33
GOLD,10 GRMS,AHMEDABAD,31191,+,09 Sep 2016,16:33
GOLD,10 GRMS,AHMEDABAD,31122,-,09 Sep 2016,12:49
GOLD,10 GRMS,AHMEDABAD,31240,-,08 Sep 2016,17:10
GOLD,10 GRMS,AHMEDABAD,31274,-,08 Sep 2016,12:55
GOLD,10 GRMS,AHMEDABAD,31278,-,07 Sep 2016,16:59
GOLD,10 GRMS,AHMEDABAD,31300,+,07 Sep 2016,13:05
GOLD,10 GRMS,AHMEDABAD,31030,+,06 Sep 2016,16:41
GOLD,10 GRMS,AHMEDABAD,30970,+,06 Sep 2016,12:57
GOLD,10 GRMS,AHMEDABAD,30761,+,02 Sep 2016,16:43
GOLD,10 GRMS,AHMEDABAD,30743,+,02 Sep 2016,12:46
GOLD,10 GRMS,AHMEDABAD,30703,-,01 Sep 2016,16:36
GOLD,10 GRMS,AHMEDABAD,30790,-,01 Sep 2016,12:45
GOLD,10 GRMS,AHMEDABAD,30814,-,31 Aug 2016,17:54
GOLD,10 GRMS,AHMEDABAD,30822,-,31 Aug 2016,12:49
GOLD,10 GRMS,AHMEDABAD,31014,+,30 Aug 2016,16:44
GOLD,10 GRMS,AHMEDABAD,31008,+,30 Aug 2016,12:48
GOLD,10 GRMS,AHMEDABAD,30999,+,29 Aug 2016,16:49
