Commodity,Unit,Location,Spot Price(Rs.),Up/Down,Date,Time
GOLD,10 GRMS,AHMEDABAD,13445,-,31 Dec 2008,17:17
GOLD,10 GRMS,AHMEDABAD,13450,-,31 Dec 2008,12:56
GOLD,10 GRMS,AHMEDABAD,13476,-,30 Dec 2008,16:57
GOLD,10 GRMS,AHMEDABAD,13580,-,30 Dec 2008,13:10
GOLD,10 GRMS,AHMEDABAD,13739,-,29 Dec 2008,17:08
GOLD,10 GRMS,AHMEDABAD,13760,+,29 Dec 2008,13:12
GOLD,10 GRMS,AHMEDABAD,13450,+,27 Dec 2008,12:52
GOLD,10 GRMS,AHMEDABAD,13075,+,26 Dec 2008,17:01
GOLD,10 GRMS,AHMEDABAD,13073,+,26 Dec 2008,13:08
GOLD,10 GRMS,AHMEDABAD,12957,-,24 Dec 2008,16:50
GOLD,10 GRMS,AHMEDABAD,13147,-,24 Dec 2008,13:19
GOLD,10 GRMS,AHMEDABAD,13179,+,23 Dec 2008,17:11
GOLD,10 GRMS,AHMEDABAD,13171,+,23 Dec 2008,13:08
GOLD,10 GRMS,AHMEDABAD,12995,+,22 Dec 2008,16:51
GOLD,10 GRMS,AHMEDABAD,12866,+,22 Dec 2008,12:49
GOLD,10 GRMS,AHMEDABAD,12761,+,20 Dec 2008,12:50
GOLD,10 GRMS,AHMEDABAD,12731,-,19 Dec 2008,17:01
GOLD,10 GRMS,AHMEDABAD,12864,-,19 Dec 2008,13:12
GOLD,10 GRMS,AHMEDABAD,13175,+,18 Dec 2008,16:53
GOLD,10 GRMS,AHMEDABAD,13118,+,18 Dec 2008,13:18
GOLD,10 GRMS,AHMEDABAD,13048,+,17 Dec 2008,16:53
GOLD,10 GRMS,AHMEDABAD,12975,+,17 Dec 2008,12:59
GOLD,10 GRMS,AHMEDABAD,12910,-,16 Dec 2008,16:45
GOLD,10 GRMS,AHMEDABAD,12930,+,16 Dec 2008,13:10
GOLD,10 GRMS,AHMEDABAD,12860,-,15 Dec 2008,16:59
GOLD,10 GRMS,AHMEDABAD,12869,+,15 Dec 2008,13:04
GOLD,10 GRMS,AHMEDABAD,12839,+,13 Dec 2008,13:16
GOLD,10 GRMS,AHMEDABAD,12721,-,12 Dec 2008,16:57
GOLD,10 GRMS,AHMEDABAD,12737,-,12 Dec 2008,12:58
GOLD,10 GRMS,AHMEDABAD,12827,+,11 Dec 2008,17:09
GOLD,10 GRMS,AHMEDABAD,12779,+,11 Dec 2008,13:19
GOLD,10 GRMS,AHMEDABAD,12458,+,10 Dec 2008,17:04
GOLD,10 GRMS,AHMEDABAD,12432,+,10 Dec 2008,13:07
GOLD,10 GRMS,AHMEDABAD,12345,+,08 Dec 2008,16:52
