Commodity,Unit,Location,Spot Price(Rs.),Up/Down,Date,Time
GOLD,10 GRMS,AHMEDABAD,48031,+,30 Nov 2021,18:04
GOLD,10 GRMS,AHMEDABAD,47917,-,30 Nov 2021,12:56
GOLD,10 GRMS,AHMEDABAD,47964,+,29 Nov 2021,17:10
GOLD,10 GRMS,AHMEDABAD,47950,-,29 Nov 2021,12:54
GOLD,10 GRMS,AHMEDABAD,48153,+,26 Nov 2021,17:24
GOLD,10 GRMS,AHMEDABAD,47838,+,26 Nov 2021,12:56
GOLD,10 GRMS,AHMEDABAD,47522,=,25 Nov 2021,16:37
GOLD,10 GRMS,AHMEDABAD,47522,+,25 Nov 2021,13:02
GOLD,10 GRMS,AHMEDABAD,47447,-,24 Nov 2021,16:55
GOLD,10 GRMS,AHMEDABAD,47548,-,24 Nov 2021,13:47
GOLD,10 GRMS,AHMEDABAD,47669,-,23 Nov 2021,17:14
GOLD,10 GRMS,AHMEDABAD,47835,-,23 Nov 2021,12:50
GOLD,10 GRMS,AHMEDABAD,48710,+,22 Nov 2021,17:13
GOLD,10 GRMS,AHMEDABAD,48701,-,22 Nov 2021,12:52
GOLD,10 GRMS,AHMEDABAD,49038,=,19 Nov 2021,17:32
GOLD,10 GRMS,AHMEDABAD,49038,+,18 Nov 2021,17:36
GOLD,10 GRMS,AHMEDABAD,48995,+,18 Nov 2021,13:08
GOLD,10 GRMS,AHMEDABAD,48968,+,17 Nov 2021,16:48
GOLD,10 GRMS,AHMEDABAD,48895,-,17 Nov 2021,12:53
GOLD,10 GRMS,AHMEDABAD,49336,+,16 Nov 2021,17:00
GOLD,10 GRMS,AHMEDABAD,49209,+,16 Nov 2021,12:49
GOLD,10 GRMS,AHMEDABAD,49177,+,15 Nov 2021,17:27
GOLD,10 GRMS,AHMEDABAD,48981,+,15 Nov 2021,13:17
GOLD,10 GRMS,AHMEDABAD,48805,-,12 Nov 2021,16:59
GOLD,10 GRMS,AHMEDABAD,49042,-,12 Nov 2021,12:46
GOLD,10 GRMS,AHMEDABAD,49167,+,11 Nov 2021,17:16
GOLD,10 GRMS,AHMEDABAD,48940,+,11 Nov 2021,12:45
GOLD,10 GRMS,AHMEDABAD,48207,+,10 Nov 2021,17:08
GOLD,10 GRMS,AHMEDABAD,48142,+,10 Nov 2021,13:08
GOLD,10 GRMS,AHMEDABAD,48052,+,09 Nov 2021,16:54
GOLD,10 GRMS,AHMEDABAD,47257,=,09 Nov 2021,12:53
GOLD,10 GRMS,AHMEDABAD,47257,=,08 Nov 2021,12:46
GOLD,10 GRMS,AHMEDABAD,47257,=,05 Nov 2021,17:51
GOLD,10 GRMS,AHMEDABAD,47257,-,03 Nov 2021,16:38
GOLD,10 GRMS,AHMEDABAD,47277,-,03 Nov 2021,12:46
GOLD,10 GRMS,AHMEDABAD,47652,-,02 Nov 2021,17:00
GOLD,10 GRMS,AHMEDABAD,47729,+,02 Nov 2021,12:58
GOLD,10 GRMS,AHMEDABAD,47621,+,01 Nov 2021,17:16
GOLD,10 GRMS,AHMEDABAD,47586,-,01 Nov 2021,12:59
GOLD,10 GRMS,AHMEDABAD,47794,+,29 Oct 2021,18:03
GOLD,10 GRMS,AHMEDABAD,47763,-,29 Oct 2021,13:14
GOLD,10 GRMS,AHMEDABAD,47876,-,28 Oct 2021,17:07
GOLD,10 GRMS,AHMEDABAD,47881,+,28 Oct 2021,13:09
GOLD,10 GRMS,AHMEDABAD,47697,+,27 Oct 2021,17:02
GOLD,10 GRMS,AHMEDABAD,47654,-,27 Oct 2021,12:47
GOLD,10 GRMS,AHMEDABAD,47975,-,26 Oct 2021,17:12
GOLD,10 GRMS,AHMEDABAD,48120,+,26 Oct 2021,12:57
GOLD,10 GRMS,AHMEDABAD,47913,+,25 Oct 2021,17:15
GOLD,10 GRMS,AHMEDABAD,47899,+,25 Oct 2021,14:03
GOLD,10 GRMS,AHMEDABAD,47604,+,22 Oct 2021,17:06
GOLD,10 GRMS,AHMEDABAD,47530,+,22 Oct 2021,13:17
GOLD,10 GRMS,AHMEDABAD,47380,+,21 Oct 2021,17:25
GOLD,10 GRMS,AHMEDABAD,47313,-,21 Oct 2021,13:15
GOLD,10 GRMS,AHMEDABAD,47363,+,20 Oct 2021,17:28
GOLD,10 GRMS,AHMEDABAD,47323,-,20 Oct 2021,13:21
GOLD,10 GRMS,AHMEDABAD,47388,+,19 Oct 2021,17:36
GOLD,10 GRMS,AHMEDABAD,47368,+,19 Oct 2021,13:14
GOLD,10 GRMS,AHMEDABAD,47184,-,18 Oct 2021,17:17
GOLD,10 GRMS,AHMEDABAD,47189,-,18 Oct 2021,12:48
GOLD,10 GRMS,AHMEDABAD,47899,+,14 Oct 2021,16:41
