Commodity,Unit,Location,Spot Price(Rs.),Up/Down,Date,Time
GOLD,10 GRMS,AHMEDABAD,26774,-,31 Dec 2014,17:01
GOLD,10 GRMS,AHMEDABAD,26855,+,31 Dec 2014,12:45
GOLD,10 GRMS,AHMEDABAD,26638,-,30 Dec 2014,16:47
GOLD,10 GRMS,AHMEDABAD,26757,-,30 Dec 2014,12:46
GOLD,10 GRMS,AHMEDABAD,26869,-,29 Dec 2014,16:49
GOLD,10 GRMS,AHMEDABAD,26915,+,29 Dec 2014,12:46
GOLD,10 GRMS,AHMEDABAD,26915,+,29 Dec 2014,12:46
GOLD,10 GRMS,AHMEDABAD,26895,+,26 Dec 2014,16:55
GOLD,10 GRMS,AHMEDABAD,26714,+,26 Dec 2014,12:57
GOLD,10 GRMS,AHMEDABAD,26507,-,24 Dec 2014,16:39
GOLD,10 GRMS,AHMEDABAD,26512,+,24 Dec 2014,12:47
GOLD,10 GRMS,AHMEDABAD,26458,-,23 Dec 2014,16:57
GOLD,10 GRMS,AHMEDABAD,26569,-,23 Dec 2014,12:55
GOLD,10 GRMS,AHMEDABAD,26784,-,22 Dec 2014,16:42
GOLD,10 GRMS,AHMEDABAD,26785,-,22 Dec 2014,12:44
GOLD,10 GRMS,AHMEDABAD,26802,+,19 Dec 2014,16:50
GOLD,10 GRMS,AHMEDABAD,26786,-,19 Dec 2014,12:47
GOLD,10 GRMS,AHMEDABAD,26927,+,18 Dec 2014,16:56
GOLD,10 GRMS,AHMEDABAD,26820,-,18 Dec 2014,12:53
GOLD,10 GRMS,AHMEDABAD,26901,-,17 Dec 2014,16:43
GOLD,10 GRMS,AHMEDABAD,26922,+,17 Dec 2014,12:49
GOLD,10 GRMS,AHMEDABAD,26858,+,16 Dec 2014,16:41
GOLD,10 GRMS,AHMEDABAD,26820,-,16 Dec 2014,12:44
GOLD,10 GRMS,AHMEDABAD,26903,-,15 Dec 2014,17:09
GOLD,10 GRMS,AHMEDABAD,26962,+,15 Dec 2014,12:49
GOLD,10 GRMS,AHMEDABAD,26891,+,12 Dec 2014,16:58
