Commodity,Unit,Location,Spot Price(Rs.),Up/Down,Date,Time
GOLD,10 GRMS,AHMEDABAD,31566,+,31 Dec 2018,17:04
GOLD,10 GRMS,AHMEDABAD,31504,-,31 Dec 2018,12:59
GOLD,10 GRMS,AHMEDABAD,31547,-,28 Dec 2018,18:10
GOLD,10 GRMS,AHMEDABAD,31587,+,28 Dec 2018,13:25
GOLD,10 GRMS,AHMEDABAD,31513,+,27 Dec 2018,17:22
GOLD,10 GRMS,AHMEDABAD,31436,-,27 Dec 2018,13:35
GOLD,10 GRMS,AHMEDABAD,31452,+,26 Dec 2018,17:27
GOLD,10 GRMS,AHMEDABAD,31411,+,26 Dec 2018,13:31
GOLD,10 GRMS,AHMEDABAD,31190,-,24 Dec 2018,16:49
GOLD,10 GRMS,AHMEDABAD,31254,+,24 Dec 2018,12:59
GOLD,10 GRMS,AHMEDABAD,31114,=,21 Dec 2018,17:11
GOLD,10 GRMS,AHMEDABAD,31115,+,21 Dec 2018,13:17
GOLD,10 GRMS,AHMEDABAD,31040,+,20 Dec 2018,17:20
GOLD,10 GRMS,AHMEDABAD,30931,-,20 Dec 2018,13:20
GOLD,10 GRMS,AHMEDABAD,31043,+,19 Dec 2018,17:45
GOLD,10 GRMS,AHMEDABAD,30975,-,19 Dec 2018,13:45
GOLD,10 GRMS,AHMEDABAD,31205,-,18 Dec 2018,17:33
GOLD,10 GRMS,AHMEDABAD,31292,+,18 Dec 2018,13:01
GOLD,10 GRMS,AHMEDABAD,31287,-,17 Dec 2018,17:32
GOLD,10 GRMS,AHMEDABAD,31302,-,17 Dec 2018,13:11
GOLD,10 GRMS,AHMEDABAD,31374,+,14 Dec 2018,16:41
GOLD,10 GRMS,AHMEDABAD,31363,-,14 Dec 2018,12:56
GOLD,10 GRMS,AHMEDABAD,31410,-,13 Dec 2018,16:59
GOLD,10 GRMS,AHMEDABAD,31431,-,13 Dec 2018,12:54
GOLD,10 GRMS,AHMEDABAD,31577,-,12 Dec 2018,17:13
GOLD,10 GRMS,AHMEDABAD,31581,-,12 Dec 2018,13:05
GOLD,10 GRMS,AHMEDABAD,31616,-,11 Dec 2018,18:08
GOLD,10 GRMS,AHMEDABAD,31621,+,11 Dec 2018,13:09
GOLD,10 GRMS,AHMEDABAD,31423,-,10 Dec 2018,17:30
GOLD,10 GRMS,AHMEDABAD,31451,+,10 Dec 2018,12:57
GOLD,10 GRMS,AHMEDABAD,31050,+,07 Dec 2018,17:08
GOLD,10 GRMS,AHMEDABAD,30922,-,07 Dec 2018,13:23
GOLD,10 GRMS,AHMEDABAD,30987,-,06 Dec 2018,17:42
GOLD,10 GRMS,AHMEDABAD,31097,+,06 Dec 2018,12:56
GOLD,10 GRMS,AHMEDABAD,30855,+,05 Dec 2018,17:17
GOLD,10 GRMS,AHMEDABAD,30820,-,05 Dec 2018,13:26
GOLD,10 GRMS,AHMEDABAD,30945,+,04 Dec 2018,17:18
GOLD,10 GRMS,AHMEDABAD,30825,+,04 Dec 2018,13:28
GOLD,10 GRMS,AHMEDABAD,30664,+,03 Dec 2018,16:55
GOLD,10 GRMS,AHMEDABAD,30526,+,03 Dec 2018,13:13
GOLD,10 GRMS,AHMEDABAD,30240,-,30 Nov 2018,17:03
GOLD,10 GRMS,AHMEDABAD,30269,-,30 Nov 2018,12:52
GOLD,10 GRMS,AHMEDABAD,30360,-,29 Nov 2018,16:57
GOLD,10 GRMS,AHMEDABAD,30375,-,29 Nov 2018,12:53
GOLD,10 GRMS,AHMEDABAD,30394,-,28 Nov 2018,17:02
GOLD,10 GRMS,AHMEDABAD,30418,-,28 Nov 2018,12:52
GOLD,10 GRMS,AHMEDABAD,30673,+,27 Nov 2018,16:59
GOLD,10 GRMS,AHMEDABAD,30648,-,27 Nov 2018,12:55
GOLD,10 GRMS,AHMEDABAD,30705,+,26 Nov 2018,17:16
GOLD,10 GRMS,AHMEDABAD,30669,-,26 Nov 2018,13:13
GOLD,10 GRMS,AHMEDABAD,30834,-,22 Nov 2018,17:40
GOLD,10 GRMS,AHMEDABAD,30903,+,22 Nov 2018,12:55
GOLD,10 GRMS,AHMEDABAD,30862,+,21 Nov 2018,16:59
GOLD,10 GRMS,AHMEDABAD,30810,-,21 Nov 2018,14:08
GOLD,10 GRMS,AHMEDABAD,30913,+,20 Nov 2018,16:46
GOLD,10 GRMS,AHMEDABAD,30865,-,20 Nov 2018,12:57
GOLD,10 GRMS,AHMEDABAD,30918,-,19 Nov 2018,17:02
GOLD,10 GRMS,AHMEDABAD,30966,+,19 Nov 2018,12:45
GOLD,10 GRMS,AHMEDABAD,30912,+,16 Nov 2018,17:11
GOLD,10 GRMS,AHMEDABAD,30864,-,16 Nov 2018,13:30
GOLD,10 GRMS,AHMEDABAD,30906,-,15 Nov 2018,16:49
GOLD,10 GRMS,AHMEDABAD,30975,+,15 Nov 2018,13:26
GOLD,10 GRMS,AHMEDABAD,30759,-,14 Nov 2018,17:46
GOLD,10 GRMS,AHMEDABAD,30763,-,14 Nov 2018,13:46
GOLD,10 GRMS,AHMEDABAD,30898,-,13 Nov 2018,16:50
GOLD,10 GRMS,AHMEDABAD,31007,-,13 Nov 2018,12:51
GOLD,10 GRMS,AHMEDABAD,31200,-,12 Nov 2018,17:01
GOLD,10 GRMS,AHMEDABAD,31206,-,12 Nov 2018,12:57
GOLD,10 GRMS,AHMEDABAD,31773,=,09 Nov 2018,16:31
GOLD,10 GRMS,AHMEDABAD,31773,=,09 Nov 2018,12:45
GOLD,10 GRMS,AHMEDABAD,31773,+,06 Nov 2018,16:52
GOLD,10 GRMS,AHMEDABAD,31662,-,06 Nov 2018,12:53
GOLD,10 GRMS,AHMEDABAD,31739,-,05 Nov 2018,16:48
GOLD,10 GRMS,AHMEDABAD,31757,+,05 Nov 2018,12:47
GOLD,10 GRMS,AHMEDABAD,31565,-,02 Nov 2018,16:57
GOLD,10 GRMS,AHMEDABAD,31622,-,02 Nov 2018,12:48
GOLD,10 GRMS,AHMEDABAD,31697,-,01 Nov 2018,17:24
GOLD,10 GRMS,AHMEDABAD,31723,+,01 Nov 2018,12:54
GOLD,10 GRMS,AHMEDABAD,31698,-,31 Oct 2018,18:11
GOLD,10 GRMS,AHMEDABAD,31735,+,31 Oct 2018,12:48
GOLD,10 GRMS,AHMEDABAD,31688,-,30 Oct 2018,17:12
GOLD,10 GRMS,AHMEDABAD,31754,-,30 Oct 2018,12:49
GOLD,10 GRMS,AHMEDABAD,31784,-,29 Oct 2018,17:34
GOLD,10 GRMS,AHMEDABAD,31790,-,29 Oct 2018,13:24
GOLD,10 GRMS,AHMEDABAD,31868,+,26 Oct 2018,17:26
GOLD,10 GRMS,AHMEDABAD,31791,+,26 Oct 2018,12:48
GOLD,10 GRMS,AHMEDABAD,31736,-,25 Oct 2018,17:45
