Commodity,Unit,Location,Spot Price(Rs.),Up/Down,Date,Time
GOLD,10 GRMS,AHMEDABAD,20575,+,31 Dec 2010,17:41
GOLD,10 GRMS,AHMEDABAD,20560,-,31 Dec 2010,12:59
GOLD,10 GRMS,AHMEDABAD,20650,-,30 Dec 2010,16:45
GOLD,10 GRMS,AHMEDABAD,20667,+,30 Dec 2010,12:58
GOLD,10 GRMS,AHMEDABAD,20620,-,29 Dec 2010,16:43
GOLD,10 GRMS,AHMEDABAD,20646,+,29 Dec 2010,13:05
GOLD,10 GRMS,AHMEDABAD,20500,+,28 Dec 2010,16:37
GOLD,10 GRMS,AHMEDABAD,20474,+,28 Dec 2010,13:01
GOLD,10 GRMS,AHMEDABAD,20405,+,27 Dec 2010,16:49
GOLD,10 GRMS,AHMEDABAD,20403,+,27 Dec 2010,12:58
GOLD,10 GRMS,AHMEDABAD,20363,+,24 Dec 2010,17:02
GOLD,10 GRMS,AHMEDABAD,20360,+,24 Dec 2010,13:08
GOLD,10 GRMS,AHMEDABAD,20357,+,23 Dec 2010,18:08
GOLD,10 GRMS,AHMEDABAD,20355,-,23 Dec 2010,13:37
GOLD,10 GRMS,AHMEDABAD,20430,-,22 Dec 2010,16:42
GOLD,10 GRMS,AHMEDABAD,20450,+,22 Dec 2010,12:56
GOLD,10 GRMS,AHMEDABAD,20430,-,21 Dec 2010,16:42
GOLD,10 GRMS,AHMEDABAD,20455,-,21 Dec 2010,12:49
GOLD,10 GRMS,AHMEDABAD,20475,-,20 Dec 2010,16:43
GOLD,10 GRMS,AHMEDABAD,20515,+,20 Dec 2010,12:58
GOLD,10 GRMS,AHMEDABAD,20420,+,18 Dec 2010,13:16
GOLD,10 GRMS,AHMEDABAD,20420,+,18 Dec 2010,13:16
GOLD,10 GRMS,AHMEDABAD,20375,-,17 Dec 2010,17:11
GOLD,10 GRMS,AHMEDABAD,20402,-,17 Dec 2010,12:51
GOLD,10 GRMS,AHMEDABAD,20475,+,16 Dec 2010,16:48
GOLD,10 GRMS,AHMEDABAD,20455,-,16 Dec 2010,12:48
GOLD,10 GRMS,AHMEDABAD,20533,+,15 Dec 2010,16:40
GOLD,10 GRMS,AHMEDABAD,20485,-,15 Dec 2010,12:57
GOLD,10 GRMS,AHMEDABAD,20580,-,14 Dec 2010,16:52
GOLD,10 GRMS,AHMEDABAD,20621,+,14 Dec 2010,12:58
GOLD,10 GRMS,AHMEDABAD,20455,+,13 Dec 2010,16:47
GOLD,10 GRMS,AHMEDABAD,20454,+,13 Dec 2010,13:06
GOLD,10 GRMS,AHMEDABAD,20381,-,11 Dec 2010,13:10
GOLD,10 GRMS,AHMEDABAD,20381,-,11 Dec 2010,13:10
GOLD,10 GRMS,AHMEDABAD,20430,-,10 Dec 2010,16:46
GOLD,10 GRMS,AHMEDABAD,20500,+,10 Dec 2010,12:53
GOLD,10 GRMS,AHMEDABAD,20413,+,09 Dec 2010,17:05
GOLD,10 GRMS,AHMEDABAD,20404,-,09 Dec 2010,12:58
GOLD,10 GRMS,AHMEDABAD,20518,+,08 Dec 2010,16:32
GOLD,10 GRMS,AHMEDABAD,20465,-,08 Dec 2010,12:50
GOLD,10 GRMS,AHMEDABAD,20782,+,07 Dec 2010,16:39
GOLD,10 GRMS,AHMEDABAD,20750,+,07 Dec 2010,12:48
GOLD,10 GRMS,AHMEDABAD,20715,+,06 Dec 2010,16:40
GOLD,10 GRMS,AHMEDABAD,20700,-,06 Dec 2010,12:45
GOLD,10 GRMS,AHMEDABAD,20710,+,04 Dec 2010,13:34
GOLD,10 GRMS,AHMEDABAD,20710,+,04 Dec 2010,13:34
GOLD,10 GRMS,AHMEDABAD,20450,+,03 Dec 2010,16:56
GOLD,10 GRMS,AHMEDABAD,20435,-,03 Dec 2010,12:46
GOLD,10 GRMS,AHMEDABAD,20530,-,02 Dec 2010,16:48
GOLD,10 GRMS,AHMEDABAD,20580,+,02 Dec 2010,12:48
GOLD,10 GRMS,AHMEDABAD,20580,+,02 Dec 2010,12:48
GOLD,10 GRMS,AHMEDABAD,20575,-,01 Dec 2010,16:49
GOLD,10 GRMS,AHMEDABAD,20625,+,01 Dec 2010,12:49
GOLD,10 GRMS,AHMEDABAD,20500,+,30 Nov 2010,17:06
GOLD,10 GRMS,AHMEDABAD,20415,+,30 Nov 2010,12:54
GOLD,10 GRMS,AHMEDABAD,20327,-,29 Nov 2010,16:59
GOLD,10 GRMS,AHMEDABAD,20330,-,29 Nov 2010,12:59
GOLD,10 GRMS,AHMEDABAD,20350,-,27 Nov 2010,13:09
GOLD,10 GRMS,AHMEDABAD,20350,-,27 Nov 2010,13:08
GOLD,10 GRMS,AHMEDABAD,20385,+,26 Nov 2010,16:56
GOLD,10 GRMS,AHMEDABAD,20375,+,26 Nov 2010,12:51
GOLD,10 GRMS,AHMEDABAD,20365,-,25 Nov 2010,16:57
GOLD,10 GRMS,AHMEDABAD,20400,-,25 Nov 2010,12:47
GOLD,10 GRMS,AHMEDABAD,20510,+,24 Nov 2010,16:58
GOLD,10 GRMS,AHMEDABAD,20460,+,24 Nov 2010,12:46
GOLD,10 GRMS,AHMEDABAD,20230,+,23 Nov 2010,16:57
GOLD,10 GRMS,AHMEDABAD,20225,+,23 Nov 2010,13:01
GOLD,10 GRMS,AHMEDABAD,20080,+,22 Nov 2010,16:43
GOLD,10 GRMS,AHMEDABAD,20025,-,22 Nov 2010,13:05
GOLD,10 GRMS,AHMEDABAD,20066,-,20 Nov 2010,13:19
GOLD,10 GRMS,AHMEDABAD,20066,-,20 Nov 2010,13:19
GOLD,10 GRMS,AHMEDABAD,20075,+,19 Nov 2010,16:44
GOLD,10 GRMS,AHMEDABAD,20004,-,19 Nov 2010,13:08
GOLD,10 GRMS,AHMEDABAD,20038,+,18 Nov 2010,16:55
GOLD,10 GRMS,AHMEDABAD,20036,-,18 Nov 2010,13:08
GOLD,10 GRMS,AHMEDABAD,20085,-,16 Nov 2010,17:01
GOLD,10 GRMS,AHMEDABAD,20087,-,16 Nov 2010,12:49
GOLD,10 GRMS,AHMEDABAD,20130,+,15 Nov 2010,17:09
GOLD,10 GRMS,AHMEDABAD,20088,-,15 Nov 2010,12:59
GOLD,10 GRMS,AHMEDABAD,20100,-,13 Nov 2010,13:01
GOLD,10 GRMS,AHMEDABAD,20100,-,13 Nov 2010,13:01
GOLD,10 GRMS,AHMEDABAD,20233,+,12 Nov 2010,16:46
GOLD,10 GRMS,AHMEDABAD,20190,-,12 Nov 2010,13:09
GOLD,10 GRMS,AHMEDABAD,20385,+,11 Nov 2010,16:55
GOLD,10 GRMS,AHMEDABAD,20300,+,11 Nov 2010,13:09
GOLD,10 GRMS,AHMEDABAD,20205,+,10 Nov 2010,17:13
GOLD,10 GRMS,AHMEDABAD,20200,+,10 Nov 2010,12:55
GOLD,10 GRMS,AHMEDABAD,20200,+,10 Nov 2010,12:55
GOLD,10 GRMS,AHMEDABAD,19645,=,09 Nov 2010,12:43
GOLD,10 GRMS,AHMEDABAD,19645,=,09 Nov 2010,12:43
GOLD,10 GRMS,AHMEDABAD,19645,=,08 Nov 2010,12:59
GOLD,10 GRMS,AHMEDABAD,19645,=,08 Nov 2010,12:59
