Commodity,Unit,Location,Spot Price(Rs.),Up/Down,Date,Time
GOLD,10 GRMS,AHMEDABAD,30446,-,31 Dec 2012,17:09
GOLD,10 GRMS,AHMEDABAD,30473,+,31 Dec 2012,12:31
GOLD,10 GRMS,AHMEDABAD,30396,-,29 Dec 2012,12:34
GOLD,10 GRMS,AHMEDABAD,30396,-,29 Dec 2012,12:34
GOLD,10 GRMS,AHMEDABAD,30415,-,28 Dec 2012,16:45
GOLD,10 GRMS,AHMEDABAD,30477,+,28 Dec 2012,12:58
GOLD,10 GRMS,AHMEDABAD,30388,+,27 Dec 2012,16:55
GOLD,10 GRMS,AHMEDABAD,30352,-,27 Dec 2012,12:34
GOLD,10 GRMS,AHMEDABAD,30402,-,26 Dec 2012,16:47
GOLD,10 GRMS,AHMEDABAD,30433,-,26 Dec 2012,12:28
GOLD,10 GRMS,AHMEDABAD,30538,-,24 Dec 2012,16:44
GOLD,10 GRMS,AHMEDABAD,30589,-,24 Dec 2012,12:38
GOLD,10 GRMS,AHMEDABAD,30590,+,22 Dec 2012,12:57
GOLD,10 GRMS,AHMEDABAD,30590,+,22 Dec 2012,12:57
GOLD,10 GRMS,AHMEDABAD,30426,+,21 Dec 2012,16:35
GOLD,10 GRMS,AHMEDABAD,30339,-,21 Dec 2012,12:47
GOLD,10 GRMS,AHMEDABAD,30589,-,20 Dec 2012,16:28
GOLD,10 GRMS,AHMEDABAD,30630,+,20 Dec 2012,12:33
GOLD,10 GRMS,AHMEDABAD,30567,-,19 Dec 2012,16:22
GOLD,10 GRMS,AHMEDABAD,30671,-,19 Dec 2012,12:43
GOLD,10 GRMS,AHMEDABAD,31174,+,18 Dec 2012,16:37
GOLD,10 GRMS,AHMEDABAD,31144,+,18 Dec 2012,12:43
GOLD,10 GRMS,AHMEDABAD,30885,=,17 Dec 2012,12:22
GOLD,10 GRMS,AHMEDABAD,30885,=,17 Dec 2012,12:22
GOLD,10 GRMS,AHMEDABAD,30885,-,15 Dec 2012,13:25
GOLD,10 GRMS,AHMEDABAD,30885,-,15 Dec 2012,13:25
GOLD,10 GRMS,AHMEDABAD,30926,+,14 Dec 2012,16:48
GOLD,10 GRMS,AHMEDABAD,30841,-,14 Dec 2012,12:43
GOLD,10 GRMS,AHMEDABAD,30886,+,13 Dec 2012,16:38
GOLD,10 GRMS,AHMEDABAD,30771,-,13 Dec 2012,12:17
GOLD,10 GRMS,AHMEDABAD,31059,+,12 Dec 2012,16:38
GOLD,10 GRMS,AHMEDABAD,31054,+,12 Dec 2012,12:32
GOLD,10 GRMS,AHMEDABAD,31042,+,11 Dec 2012,16:51
GOLD,10 GRMS,AHMEDABAD,31026,-,11 Dec 2012,12:37
GOLD,10 GRMS,AHMEDABAD,31170,+,10 Dec 2012,17:00
GOLD,10 GRMS,AHMEDABAD,31048,+,10 Dec 2012,12:42
GOLD,10 GRMS,AHMEDABAD,30983,+,08 Dec 2012,12:48
GOLD,10 GRMS,AHMEDABAD,30983,+,08 Dec 2012,12:48
GOLD,10 GRMS,AHMEDABAD,30921,+,07 Dec 2012,16:30
GOLD,10 GRMS,AHMEDABAD,30850,+,07 Dec 2012,12:39
GOLD,10 GRMS,AHMEDABAD,30661,-,06 Dec 2012,16:53
GOLD,10 GRMS,AHMEDABAD,30747,-,06 Dec 2012,12:43
GOLD,10 GRMS,AHMEDABAD,31047,-,05 Dec 2012,16:20
